QUESTIONS,ANSWERS
"There are two meanings to me. With one I may need to be broken, with the other I hold on. My favorite characteristic is my charming dimple.",tie
Mountains will crumble and temples will fall. And no man can survive its endless call.,time
"This thing all things devours: Birds, beasts, trees, flowers; Gnaws iron, bites steel; Grinds hard stones to meal; Slays king, ruins town, And beats high mountains down.",time
"Until I am measured I am not known, Yet how you miss me when I have flown.",time
What flies without wings? What passes all things? What mends all sorrow? What brings the morrow?,time
"What is it which builds things up? Lays mountains low? Dries up lakes, and makes things grow? Cares not a whim about your passing? And is like few other things, because it is everlasting?",time
"I never was, am always to be. No one ever saw me, nor ever will. And yet I am the confidence of all, To live and breath on this terrestrial ball. ",tomorrow
"Forward I’m heavy, but backwards I’m not. ",ton
Often held but never touched. Always wet but never rusts. Often bits but seldom bit. To use it well you must have wit.,tongue
Blend a teapot shot so the pearlies won’t rot!,toothpaste
What gets wetter as it dries?,towel
"I saw a strange creature. Long, hard, and straight, thrusting into a round, dark opening. Preparing to discharge its load of lives. Puffing and squealing noises accompanied it, then a final screech as it slowed and stopped.",train
Dies half its life. Lives the rest. Dances without music. Breathes without breath.,tree
"I am mother and father, but never birth or nurse. I'm rarely still, but I never wander.",tree
"Reaching stiffly for the sky, I bare my fingers when its cold. In warmth I wear an emerald glove and in between I dress in gold.",tree
"Some live in me, some live on. And some shave me to stride upon. I rarely leave my native land. Until my death I always stand. High and low I may be found. Both above and below ground.",tree
"Creatures of power, creatures of grade, creatures of beauty, creatures of strength. As for their lives, they set everything's pace. For all things must come to live. Under their emerald embraceEither in their life or in their death.",trees
"Who is it that rows quickly with four oars, but never comes out from under his own roof?",turtle
What goes up when the rain comes down?,umbrella
"My voice is tender, my waist is slender and I'm often invited to play. Yet wherever I go, I must take my bow or else I have nothing to say.",violin
"What instrument can make any sound and be heart, but not touched or seen?",voice
My thunder comes before the lightning. My lightning comes before the clouds. My rain dries all the land it touches.,volcano
We are five little objects of an everyday sort. You will find us all in a tennis court.,vowels
"I run around the city, but I never move.",wall
"As soft as silk, as white as milk, as bitter as gall, a thick green wall, and a green coat covers me all.",walnut
"A harvest sown and reaped on the same day in an unplowed field. Which increases without growing, remains whole though it is eaten within and without. Is useless and yet the staple of nations.",war
"It is a part of us, and then replaced. It escapes out bodies, to a better place. The world becomes its sizeable home. Its passions unrestraint, the planet it roams.",water
"Runs smoother than any rhyme, loves to fall but cannot climb!",water
Three lives have I. Gentle enough to soothe the skin. Light enough to caress the sky. Hard enough to crack rocks.,water
"Bright as diamonds, Loud as thunder, Never still, A thing of wonder.",waterfall
The moon is my father. The sea is my mother. I have a million brothers. I die when I reach land.,wave
"My first is in wield, sever bones and marrow. My second is in blade, forged in cold steel. My third is an arbalest, and also in arrows. My fourth is in power, plunged through a shield. My fifth is in honor, and also in vows. My last will put an end to it all.",weapon
As round as an apple. As deep as a cup. All the king's horses can't pull it up.,well
"I go around in circles, but always straight ahead. Never complain, no matter where I am led.",wheel
"A leathery snake, with a stinging bite. I'll stay coiled up, unless I must fight.",whip
"All about, but cannot be seen, Can be captured, cannot be held, No throat, but can be heard.",wind
"I pass before the sun, but make no shadow. ",wind
"Voiceless it cries,Voiceless it cries, Wingless flutters, Toothless bites, Mouthless mutters.",wind
"What flies forever, Rests never?",wind
"I have four wings but cannot fly. I never laugh and never cry. On the same spot always found, toiling away with little sound.",windmill
There is an ancient invention. Still used in some parts of the world today. That allows people to see through walls.,window
"When young, I am sweet in the sun. When middle-aged, I make you gay. When old, I am valued more than ever.",wine
"I am the heart that does not beat. If cut, I bleed without blood. I can fly, but have no wings. I can float, but have no fins. I can sing, but have no mouth.",wood
What is it that you must give before you can keep it.,word
"What does no man want, yet no man want to lose?",work
What must be in the oven yet can not be baked? Grows in the heat yet shuns the light of day? What sinks in water but rises with air? Looks like skin but is fine as hair?,yeast
